ACCIDENT_NO,ROAD_NAME,ROAD_TYPE,ROAD_NAME_INT,ROAD_TYPE_INT,ACCIDENTDATE,ACCIDENTTIME,ACCIDENT_TYPE,Accident Type Desc,DAY_OF_WEEK,Day Week Description,DCA_CODE,DCA Description,DIRECTORY,EDITION,PAGE,GRID_REFERENCE_X,GRID_REFERENCE_Y,LIGHT_CONDITION,Light Condition Desc,NODE_ID.y,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,Road Geometry Desc,SEVERITY,SPEED_ZONE
T20180001749,FORREST-APOLLO BAY,ROAD,PACK,TRACK,28/01/2018,17:50:00,4,Collision with a fixed object,1,Sunday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,101,D,4,1,Day,326546,1,2,2,0,0,0,1,5,Not at intersection,2,80
T20180007106,FORREST-APOLLO BAY,ROAD,UPPER GELLIBRAND,ROAD,15/04/2018,14:20:00,4,Collision with a fixed object,0,Sunday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,101,D,2,1,Day,330293,1,2,0,2,0,0,1,5,Not at intersection,3,80
T20180008092,COLAC-FORREST,ROAD,DRAPERS,ROAD,30/04/2018,8:23:00,4,Collision with a fixed object,1,Monday,175,OFF END OF ROAD/T-INTERSECTION.,VCS,9,92,B,7,1,Day,274895,2,2,0,1,0,1,1,2,T intersection,3,80
T20180018621,COLAC-FORREST,ROAD,COLLINS,ROAD,4/10/2018,10:30:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),VCS,9,92,C,7,1,Day,50619,2,8,0,2,0,6,1,1,Cross intersection,3,100
T20180022134,BIRREGURRA-FORREST,ROAD,BOUNDARY,ROAD,25/11/2018,13:39:00,4,Collision with a fixed object,0,Sunday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,101,D,2,1,Day,342522,1,1,1,0,0,0,1,5,Not at intersection,2,80
T20180023527,FORREST-APOLLO BAY,ROAD,UPPER GELLIBRAND,ROAD,14/12/2018,16:30:00,4,Collision with a fixed object,6,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,VCS,9,101,D,2,1,Day,341044,1,1,0,1,0,0,2,5,Not at intersection,3,80
T20190001697,BIRREGURRA-FORREST,ROAD,DEEPDENE,ROAD,28/01/2019,16:15:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),VCS,9,92,E,8,1,Day,73791,2,3,0,3,0,0,1,1,Cross intersection,2,80
T20190004432,BIRREGURRA-FORREST,ROAD,GRIFFINS,ROAD,7/03/2019,5:40:00,6,Vehicle overturned (no collision),5,Thursday,180,OFF CARRIAGEWAY ON RIGHT BEND,VCS,9,92,E,9,5,Dark No street lights,347116,1,2,2,0,0,0,1,2,T intersection,2,80
T20190008880,FORREST-APOLLO BAY,ROAD,MULGREWS,ROAD,11/05/2019,13:35:00,4,Collision with a fixed object,6,Saturday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,VCD,9,101,D,3,1,Day,359534,1,2,1,1,0,0,1,5,Not at intersection,2,80
T20190015346,BIRREGURRA-FORREST,ROAD,CAPE OTWAY,ROAD,12/08/2019,19:45:00,3,Struck animal,1,Monday,167,STRUCK ANIMAL,VCD,9,92,E,7,5,Dark No street lights,584531,1,2,0,2,0,0,1,5,Not at intersection,3,100
T20190020600,BIRREGURRA-FORREST,ROAD,CALLAHANS,LANE,20/10/2019,9:40:00,4,Collision with a fixed object,0,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,VCD,9,92,E,9,1,Day,658577,1,6,0,6,0,0,1,5,Not at intersection,3,60
T20190025273,FORREST-APOLLO BAY,ROAD,OLD COACH,ROAD,13/12/2019,14:15:00,4,Collision with a fixed object,6,Friday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,VCD,9,101,D,4,1,Day,609201,1,1,0,0,1,0,1,5,Not at intersection,1,80
T20200002114,FORREST-APOLLO BAY,ROAD,SUNNYSIDE,ROAD,29/01/2020,16:00:00,1,Collision with vehicle,4,Wednesday,150,HEAD ON(OVERTAKING),VCD,9,101,D,3,1,Day,624190,2,3,0,1,0,2,1,5,Not at intersection,3,80
T20200002572,COLAC-FORREST,ROAD,COLLYERS,ROAD,3/02/2020,21:14:00,4,Collision with a fixed object,2,Monday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,VCD,9,92,C,7,5,Dark No street lights,628649,1,1,1,0,0,0,1,5,Not at intersection,2,100
T20200007044,COLAC-FORREST,ROAD,COLLINS,ROAD,27/03/2020,5:40:00,1,Collision with vehicle,6,Friday,113,RIGHT NEAR (INTERSECTIONS ONLY),VCS,9,92,C,7,5,Dark No street lights,50619,2,2,1,0,0,1,1,1,Cross intersection,2,100
T20200007140,FORREST-APOLLO BAY,ROAD,MULGREWS,ROAD,28/03/2020,11:10:00,6,Vehicle overturned (no collision),7,Saturday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),VCD,9,101,D,3,1,Day,643808,1,1,1,0,0,0,1,5,Not at intersection,2,80
