LU_DESC,LC_DESC_14,LC_DESC_15,HECTARES,TENURE
Detached Home,Unknown,Unknown,0.20475433,PRIVATE
Detached Home,Unknown,Unknown,0.07963696,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.10091256,PRIVATE
Nature Reserve,Pasture and grassland,Pasture and grassland,16.98478975,PUBLIC
Nature Reserve,Unknown,Unknown,9.36219521,PUBLIC
Forest Reserves - Public,Unknown,Unknown,1.89902112,PUBLIC
Community Service Facilities or Other,Unknown,Unknown,4.83079568,PUBLIC
Forest Reserves - Public,Unknown,Unknown,3.91367569,PUBLIC
Separate House and Curtilage,Unknown,Unknown,4.78836059,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Pasture and grassland,Pasture and grassland,19.88507271,PRIVATE
Separate House and Curtilage,Unknown,Unknown,4.67733944,PRIVATE
"Unspecified - Transport, Storage, Utilities and Communication",Unknown,Unknown,1.41589310,PUBLIC
"Unspecified - Transport, Storage, Utilities and Communication",Unknown,Unknown,0.05511814,PUBLIC
Reserved Land,Pasture and grassland,Pasture and grassland,15.18297875,PUBLIC
"Unspecified - Transport, Storage, Utilities and Communication",Unknown,Unknown,0.13145022,PUBLIC
Short Term Holiday Accommodation,Unknown,Unknown,9.45432677,PRIVATE
Forest Reserves - Public,Unknown,Unknown,0.09130272,PUBLIC
Reserved Land,Unknown,Unknown,0.24803583,PUBLIC
Separate House and Curtilage,Unknown,Unknown,1.64534097,PRIVATE
Separate House and Curtilage,Unknown,Unknown,2.55503371,PRIVATE
Reserved Land,Unknown,Unknown,0.54741464,PUBLIC
Mixed farming and grazing  (generally more than 20ha),Pasture and grassland,Pasture and grassland,16.01022788,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,0.72556677,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,3.16096076,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,5.07591583,PRIVATE
Livestock Production (Beef Cattle),Unknown,Unknown,3.17683134,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,0.52315700,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Pasture and grassland,Pasture and grassland,13.40808616,PRIVATE
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,22.15027113,PRIVATE
Nature Reserve,Unknown,Unknown,7.63659786,PUBLIC
Livestock Production (Dairy Cattle),Unknown,Unknown,0.80151048,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.51580001,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,11.16818387,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,14.60720326,PRIVATE
Reserved Land,Unknown,Unknown,0.39414812,PUBLIC
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,20.23781616,PRIVATE
Nature Reserve,Unknown,Unknown,1.92377931,PUBLIC
Unclassified Private Land,Unknown,Unknown,0.86342588,PRIVATE
Nature Reserve,Unknown,Unknown,1.52418502,PUBLIC
Outdoor Sports Grounds - town or suburban facilities,Unknown,Unknown,3.12667604,PRIVATE
Outdoor Sports Grounds - town or suburban facilities,Unknown,Unknown,0.34126825,PRIVATE
Outdoor Sports Grounds - town or suburban facilities,Unknown,Unknown,3.16744719,PRIVATE
Industrial Land (with buildings which add no value),Unknown,Unknown,1.14446398,PRIVATE
Industrial Land (with buildings which add no value),Unknown,Unknown,1.19221222,PRIVATE
Detached Home,Unknown,Unknown,0.00194825,PRIVATE
Detached Home,Unknown,Unknown,0.11054329,PRIVATE
Detached Home,Unknown,Unknown,0.02413421,PRIVATE
Detached Home,Unknown,Unknown,0.09736021,PRIVATE
Detached Home,Unknown,Unknown,0.17476798,PRIVATE
Detached Home,Unknown,Unknown,0.10107922,PRIVATE
Detached Home,Unknown,Unknown,0.10408458,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.00292162,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,41.90880094,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,63.24941886,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Pasture and grassland,Pasture and grassland,13.69121016,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,14.10451070,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Pasture and grassland,Pasture and grassland,13.54489180,PRIVATE
Nature Reserve,Unknown,Unknown,4.38130055,PUBLIC
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,19.87507999,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,27.84096345,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,3.27567581,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,67.24167993,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,74.59084894,PRIVATE
Nature Reserve,Unknown,Unknown,3.56560309,PUBLIC
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,18.59880509,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,15.36497844,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,4.74034888,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,34.88746272,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,62.59990499,PRIVATE
Unclassified Private Land,Unknown,Unknown,1.83190309,PRIVATE
Unclassified Private Land,Pasture and grassland,Pasture and grassland,86.22061827,PRIVATE
Unclassified Private Land,Unknown,Unknown,0.01653619,PRIVATE
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,44.32816998,PRIVATE
Nature Reserve,Unknown,Unknown,5.78626962,PUBLIC
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,3.39450852,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Softwood Plantation,Pasture and grassland,53.73058443,PRIVATE
Miscellaneous Building on Residential Rural Land (>1 and<20ha),Unknown,Unknown,1.65519015,PRIVATE
Livestock Production (Beef Cattle),Hardwood plantation,Pasture and grassland,25.30453423,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,0.69194891,PRIVATE
Reserved Land,Unknown,Unknown,4.09622952,PUBLIC
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,3.97759616,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Softwood Plantation,Evergreen woody horticulture,27.12926838,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,1.56256351,PRIVATE
Separate House and Curtilage,Unknown,Unknown,8.40150304,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,2.30876573,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,0.50938391,PRIVATE
Livestock Production (Beef Cattle),Unknown,Unknown,8.14805103,PRIVATE
Reserved Land,Unknown,Unknown,0.35487043,PUBLIC
Mixed farming and grazing  (generally more than 20ha),Unknown,Unknown,5.36749766,PRIVATE
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,20.70108499,PRIVATE
Reserved Land,Unknown,Unknown,0.19237880,PUBLIC
Community Service Facilities or Other,Unknown,Unknown,3.84191063,PUBLIC
National Park - Land,Native woody cover,Native woody cover,35.94225320,PUBLIC
Mixed farming and grazing  (generally more than 20ha),Pasture and grassland,Non-woody horticulture,13.13180335,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Unknown,Unknown,1.23014923,PRIVATE
National Park - Land,Unknown,Unknown,1.08403921,PUBLIC
Mixed farming and grazing  (generally more than 20ha),Softwood Plantation,Softwood Plantation,25.68181561,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Unknown,Unknown,0.14301021,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Unknown,Unknown,7.97534288,PRIVATE
National Park - Land,Unknown,Unknown,5.23264128,PUBLIC
Reserved Land,Unknown,Unknown,0.36749170,PUBLIC
"Unspecified - Transport, Storage, Utilities and Communication",Unknown,Unknown,9.93639315,PUBLIC
Forest Reserves - Public,Unknown,Unknown,0.11113711,PUBLIC
Forest Reserves - Public,Unknown,Unknown,3.41824558,PUBLIC
Mixed farming and grazing  (generally more than 20ha),Unknown,Unknown,0.05548089,PRIVATE
Forest Reserves - Public,Unknown,Unknown,3.78137867,PUBLIC
Forest Reserves - Public,Unknown,Unknown,0.10245514,PUBLIC
National Park - Land,Unknown,Unknown,11.03680086,PUBLIC
National Park - Land,Unknown,Unknown,0.00999156,PUBLIC
Forest Reserves - Public,Unknown,Unknown,0.91666474,PUBLIC
"Unspecified - Transport, Storage, Utilities and Communication",Unknown,Unknown,0.09388928,PUBLIC
Forest Reserves - Public,Unknown,Unknown,0.75956674,PUBLIC
"Unspecified - Transport, Storage, Utilities and Communication",Unknown,Unknown,1.34034142,PUBLIC
Reserved Roads / Unused Roads,Unknown,Unknown,0.64188158,PRIVATE
Reserved Roads / Unused Roads,Unknown,Unknown,1.71809168,PRIVATE
National Park - Land,Unknown,Unknown,0.19155106,PUBLIC
Reserved Roads / Unused Roads,Unknown,Unknown,0.29852135,PRIVATE
National Park - Land,Unknown,Unknown,0.18925089,PUBLIC
Livestock Production (Beef Cattle),Softwood Plantation,Pasture and grassland,25.42776694,PRIVATE
Forest Reserves - Public,Unknown,Unknown,7.28146098,PUBLIC
Forest Reserves - Public,Unknown,Unknown,11.83429858,PUBLIC
Mixed farming and grazing  (generally more than 20ha),Pasture and grassland,Pasture and grassland,16.49259073,PRIVATE
Livestock Production (Beef Cattle),Softwood Plantation,Softwood Plantation,32.03108804,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,6.69235415,PRIVATE
Livestock Production (Beef Cattle),Unknown,Unknown,6.59149178,PRIVATE
Forest Reserves - Public,Unknown,Unknown,0.13796295,PUBLIC
Forest Reserves - Public,Unknown,Unknown,0.16422070,PUBLIC
Forest Reserves - Public,Native woody cover,Native woody cover,75.48087223,PUBLIC
Separate House and Curtilage,Unknown,Unknown,0.38541529,PRIVATE
Unclassified Private Land,Pasture and grassland,Pasture and grassland,43.66846695,PRIVATE
Forest Reserves - Public,Unknown,Unknown,6.41941663,PUBLIC
Forest Reserves - Public,Native woody cover,Native woody cover,31.60386609,PUBLIC
Forest Reserves - Public,Unknown,Unknown,0.42969502,PUBLIC
Forest Reserves - Public,Native woody cover,Native woody cover,19.31340559,PUBLIC
Separate House and Curtilage,Unknown,Unknown,9.96803448,PRIVATE
Forest Reserves - Public,Unknown,Unknown,0.30949944,PUBLIC
Forest Reserves - Public,Unknown,Unknown,0.49199523,PUBLIC
Forest Reserves - Public,Unknown,Unknown,0.32364563,PUBLIC
Forest Reserves - Public,Unknown,Unknown,0.03708893,PUBLIC
Nature Reserve,Unknown,Unknown,0.89231293,PUBLIC
Forest Reserves - Public,Unknown,Unknown,0.22361871,PUBLIC
Forest Reserves - Public,Unknown,Unknown,10.68426953,PUBLIC
Forest Reserves - Public,Native woody cover,Native woody cover,30.07928815,PUBLIC
Forest Reserves - Public,Unknown,Unknown,5.84696312,PUBLIC
Forest Reserves - Public,Unknown,Unknown,1.43167440,PUBLIC
Nature Reserve,Unknown,Unknown,8.63755235,PUBLIC
Forest Reserves - Public,Unknown,Unknown,2.15882259,PUBLIC
"Unspecified - Transport, Storage, Utilities and Communication",Unknown,Unknown,3.36410700,PUBLIC
Forest Reserves - Public,Unknown,Unknown,0.98919915,PUBLIC
Forest Reserves - Public,Unknown,Unknown,3.57379373,PUBLIC
Forest Reserves - Public,Native woody cover,Native woody cover,186.14209034,PUBLIC
Mixed farming and grazing  (generally more than 20ha),Pasture and grassland,Pasture and grassland,12.58493449,PRIVATE
Forest Reserves - Public,Unknown,Unknown,3.33889637,PUBLIC
Mixed farming and grazing  (generally more than 20ha),Pasture and grassland,Pasture and grassland,12.73968586,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,2.61124099,PRIVATE
Forest Reserves - Public,Unknown,Unknown,2.07511635,PUBLIC
Forest Reserves - Public,Native woody cover,Native woody cover,112.23289027,PUBLIC
Livestock Production (Dairy Cattle),Pasture and grassland,Hardwood plantation,16.53689408,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,50.65787325,PRIVATE
Native Vegetation / Bushland Without Covenant / Agreement,Hardwood plantation,Hardwood plantation,24.00675881,PRIVATE
Forest Reserves - Public,Unknown,Unknown,1.06177746,PUBLIC
Forest Reserves - Public,Softwood Plantation,Softwood Plantation,166.96448554,PUBLIC
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,23.29527351,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,82.10609423,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Unknown,Unknown,0.21796487,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,54.05846940,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Pasture and grassland,Pasture and grassland,56.83335656,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Hardwood plantation,Hardwood plantation,12.73842767,PRIVATE
Nature Reserve,Unknown,Unknown,4.54206878,PUBLIC
Mixed farming and grazing  (generally more than 20ha),Unknown,Unknown,8.82459618,PRIVATE
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,17.44309218,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.35607305,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,11.98819216,PRIVATE
Separate House and Curtilage,Softwood Plantation,Softwood Plantation,14.05360899,PRIVATE
Reserved Land,Unknown,Unknown,0.27159813,PUBLIC
Separate House and Curtilage,Unknown,Unknown,0.43511264,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.78115477,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.10088106,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.83084245,PRIVATE
"Unspecified - Transport, Storage, Utilities and Communication",Unknown,Unknown,0.84699151,PUBLIC
Livestock Production (Dairy Cattle),Unknown,Unknown,0.09207644,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,3.22390462,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.08041336,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.08934257,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.09652374,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.09652386,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.27059320,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.84732250,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,2.54089094,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.85220146,PRIVATE
"Unspecified - Transport, Storage, Utilities and Communication",Unknown,Unknown,0.22573185,PUBLIC
Livestock Production (Dairy Cattle),Unknown,Unknown,0.02731315,PRIVATE
Detached Home,Unknown,Unknown,0.12444003,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.04387347,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.99004033,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.20778678,PRIVATE
Separate House and Curtilage,Unknown,Unknown,1.80171596,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.73292190,PRIVATE
Nature Reserve,Unknown,Unknown,11.90118957,PUBLIC
Livestock Production (Dairy Cattle),Unknown,Unknown,0.66816389,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,1.21880350,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.03188575,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.18634811,PRIVATE
Separate House and Curtilage,Unknown,Unknown,1.07965975,PRIVATE
Livestock Production (Beef Cattle),Unknown,Unknown,0.30386617,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.47698030,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,80.41858506,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,36.94055429,PRIVATE
"Unspecified - Transport, Storage, Utilities and Communication",Unknown,Unknown,1.79069414,PUBLIC
Nature Reserve,Unknown,Unknown,4.02870211,PUBLIC
Livestock Production (Dairy Cattle),Unknown,Unknown,0.19443047,PRIVATE
Nature Reserve,Unknown,Unknown,0.78108165,PUBLIC
Unclassified Private Land,Unknown,Unknown,0.21600297,PRIVATE
Unclassified Private Land,Unknown,Unknown,1.36025011,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Pasture and grassland,Pasture and grassland,81.28979921,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.15934370,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.92772465,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.49797235,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.11015844,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Pasture and grassland,Pasture and grassland,40.01185972,PRIVATE
Nature Reserve,Unknown,Unknown,3.07846502,PUBLIC
Livestock Production (Dairy Cattle),Unknown,Unknown,3.46887394,PRIVATE
Unclassified Private Land,Unknown,Unknown,0.08085697,PRIVATE
Nature Reserve,Unknown,Unknown,3.47895720,PUBLIC
Nature Reserve,Unknown,Unknown,0.18026060,PUBLIC
Suburban and Rural Roads,Unknown,Unknown,1.33614342,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,8.26658536,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,9.40892335,PRIVATE
Separate House and Curtilage,Hardwood plantation,Pasture and grassland,13.99219193,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.92317980,PRIVATE
Nature Reserve,Unknown,Unknown,1.92043373,PUBLIC
Suburban and Rural Roads,Unknown,Unknown,0.68776656,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Hardwood plantation,Pasture and grassland,19.19568524,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,6.48605399,PRIVATE
Nature Reserve,Unknown,Unknown,11.11716271,PUBLIC
Reserved Land,Unknown,Unknown,0.11550234,PUBLIC
Unclassified Private Land,Unknown,Unknown,0.83819699,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,8.44606786,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,5.32763976,PRIVATE
Unclassified Private Land,Unknown,Unknown,0.93719500,PRIVATE
Telephone Exchange - Purpose Built,Pasture and grassland,Pasture and grassland,13.98678344,PRIVATE
Forest Reserves - Public,Unknown,Unknown,9.43112258,PUBLIC
Livestock Production (Dairy Cattle),Unknown,Unknown,6.71619862,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,3.63472437,PRIVATE
Forest Reserves - Public,Native woody cover,Native woody cover,133.57973599,PUBLIC
Reserved Land,Unknown,Unknown,5.38853617,PUBLIC
Reserved Land,Unknown,Unknown,12.36883296,PUBLIC
Native Hardwood (standing timber),Pasture and grassland,Pasture and grassland,32.85744540,PRIVATE
Forest Reserves - Public,Native woody cover,Native woody cover,13.49388877,PUBLIC
Forest Reserves - Public,Unknown,Unknown,7.53041426,PUBLIC
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,2.05664777,PRIVATE
Community Service Facilities or Other,Unknown,Unknown,2.95013232,PUBLIC
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,4.92512881,PRIVATE
Reserved Land,Unknown,Unknown,0.01461271,PUBLIC
Separate House and Curtilage,Unknown,Unknown,0.83284234,PRIVATE
Detached Home,Unknown,Unknown,0.32694993,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.75463552,PRIVATE
Separate House and Curtilage,Unknown,Unknown,1.03717619,PRIVATE
Nature Reserve,Pasture and grassland,Pasture and grassland,39.55082362,PUBLIC
Unclassified Private Land,Pasture and grassland,Pasture and grassland,80.31246032,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,53.01261394,PRIVATE
Separate House and Curtilage,Unknown,Unknown,2.09826280,PRIVATE
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,16.70741255,PRIVATE
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,47.74589422,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Pasture and grassland,Pasture and grassland,27.79611662,PRIVATE
Community Service Facilities or Other,Unknown,Unknown,2.09164445,PUBLIC
Forest Reserves - Public,Native woody cover,Native woody cover,1524.01765907,PUBLIC
National Park - Land,Native woody cover,Native woody cover,651.11795429,PUBLIC
Forest Reserves - Public,Pasture and grassland,Native woody cover,409.32059871,PUBLIC
Separate House and Curtilage,Unknown,Unknown,1.41151878,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,15.26832427,PRIVATE
Livestock Production (Beef Cattle),Softwood Plantation,Hardwood plantation,28.14323108,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,20.83801168,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,1.73268078,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,9.43297715,PRIVATE
Nature Reserve,Unknown,Unknown,8.22443710,PUBLIC
Livestock Production (Dairy Cattle),Unknown,Unknown,10.53475520,PRIVATE
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,36.92795150,PRIVATE
Unclassified Private Land,Pasture and grassland,Pasture and grassland,35.58288080,PRIVATE
Livestock Production (Beef Cattle),Unknown,Unknown,1.65339064,PRIVATE
Unclassified Private Land,Unknown,Unknown,1.32210951,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.60135428,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.17623284,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.19864828,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,7.74842910,PRIVATE
Livestock Production (Beef Cattle),Unknown,Unknown,0.14299473,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.18687318,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.02796083,PRIVATE
Unclassified Private Land,Unknown,Unknown,0.24403481,PRIVATE
Unclassified Private Land,Unknown,Unknown,0.50356963,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.03130643,PRIVATE
Reserved Land,Native woody cover,Native woody cover,111.78250478,PUBLIC
National Park - Land,Native woody cover,Native woody cover,36.11104926,PUBLIC
National Park - Land,Unknown,Unknown,0.90321843,PUBLIC
Reserved Land,Unknown,Unknown,8.92345564,PUBLIC
