LU_DESC,HECTARES,TENURE,LC_DESC_16
"Unspecified - Transport, Storage, Utilities and Communication",0.22573185,PUBLIC,Unknown
Livestock Production (Beef Cattle),17.44309218,PRIVATE,Pasture and grassland
Livestock Production (Dairy Cattle),2.54089094,PRIVATE,Unknown
Nature Reserve,11.11716271,PUBLIC,Unknown
Nature Reserve,11.90118957,PUBLIC,Unknown
Separate House and Curtilage,1.41151878,PRIVATE,Unknown
Forest Reserves - Public,9.43112258,PUBLIC,Unknown
Mixed farming and grazing  (generally more than 20ha),8.82459618,PRIVATE,Unknown
Reserved Land,5.38853617,PUBLIC,Unknown
"Unspecified - Transport, Storage, Utilities and Communication",0.84699151,PUBLIC,Unknown
Separate House and Curtilage,14.05360899,PRIVATE,Softwood Plantation
Mixed farming and grazing  (generally more than 20ha),12.73842767,PRIVATE,Hardwood plantation
Livestock Production (Beef Cattle),28.14323108,PRIVATE,Hardwood plantation
Livestock Production (Dairy Cattle),0.02731315,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),1.21880350,PRIVATE,Unknown
Nature Reserve,5.78626962,PUBLIC,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),2.05664777,PRIVATE,Unknown
Community Service Facilities or Other,2.95013232,PUBLIC,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),3.39450852,PRIVATE,Unknown
Mixed farming and grazing  (generally more than 20ha),53.73058443,PRIVATE,Hardwood plantation
Livestock Production (Beef Cattle),25.30453423,PRIVATE,Evergreen woody horticulture
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),0.69194891,PRIVATE,Unknown
Mixed farming and grazing  (generally more than 20ha),27.12926838,PRIVATE,Evergreen woody horticulture
Separate House and Curtilage,8.40150304,PRIVATE,Unknown
Livestock Production (Beef Cattle),8.14805103,PRIVATE,Unknown
National Park - Land,35.94225320,PUBLIC,Native woody cover
National Park - Land,1.08403921,PUBLIC,Unknown
Mixed farming and grazing  (generally more than 20ha),25.68181561,PRIVATE,Softwood Plantation
Mixed farming and grazing  (generally more than 20ha),0.14301021,PRIVATE,Unknown
Mixed farming and grazing  (generally more than 20ha),7.97534288,PRIVATE,Unknown
"Unspecified - Transport, Storage, Utilities and Communication",9.93639315,PUBLIC,Unknown
Mixed farming and grazing  (generally more than 20ha),0.05548089,PRIVATE,Unknown
National Park - Land,11.03680086,PUBLIC,Unknown
National Park - Land,0.00999156,PUBLIC,Unknown
"Unspecified - Transport, Storage, Utilities and Communication",0.09388928,PUBLIC,Unknown
"Unspecified - Transport, Storage, Utilities and Communication",1.34034142,PUBLIC,Unknown
Reserved Roads / Unused Roads,0.64188158,PRIVATE,Unknown
National Park - Land,167.00847482,PUBLIC,Native woody cover
National Park - Land,13.57959611,PUBLIC,Native woody cover
National Park - Land,12.61891904,PUBLIC,Native woody cover
Reserved Land,16.82314633,PUBLIC,Pasture and grassland
Separate House and Curtilage,5.51803571,PRIVATE,Unknown
National Park - Land,41.44429384,PUBLIC,Native woody cover
Reserved Land,0.87972775,PUBLIC,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),2.46192263,PRIVATE,Unknown
National Park - Land,0.03074387,PUBLIC,Unknown
National Park - Land,0.18764571,PUBLIC,Unknown
Nature Reserve,1.01083841,PUBLIC,Unknown
Separate House and Curtilage,13.85609441,PRIVATE,Native woody cover
Water Supply,26.61044237,PUBLIC,Native woody cover
Reserved Land,1.69620836,PUBLIC,Unknown
Reserved Land,1.92526045,PUBLIC,Unknown
Separate House and Curtilage,0.18860937,PRIVATE,Unknown
Reserved Land,2.31330776,PUBLIC,Unknown
Reserved Land,0.38513419,PUBLIC,Unknown
National Park - Land,68.76972212,PUBLIC,Native woody cover
Reserved Land,2.44114582,PUBLIC,Unknown
Separate House and Curtilage,0.25253746,PRIVATE,Unknown
Reserved Land,2.36486813,PUBLIC,Unknown
Reserved Land,7.66496524,PUBLIC,Unknown
Reserved Land,0.70521759,PUBLIC,Unknown
National Park - Land,40.80155218,PUBLIC,Native woody cover
National Park - Land,60.44015248,PUBLIC,Native woody cover
Reserved Land,5.14851413,PUBLIC,Unknown
Mixed farming and grazing  (generally more than 20ha),23.51329860,PRIVATE,Softwood Plantation
Reserved Land,0.31031870,PUBLIC,Unknown
National Park - Land,54.98806567,PUBLIC,Native woody cover
National Park - Land,8.30261762,PUBLIC,Unknown
National Park - Land,4.32167607,PUBLIC,Unknown
National Park - Land,12.99240329,PUBLIC,Native woody cover
Water Supply,0.20287511,PUBLIC,Unknown
National Park - Land,32.32894973,PUBLIC,Native woody cover
National Park - Land,219.28447592,PUBLIC,Native woody cover
National Park - Land,0.22111171,PUBLIC,Unknown
National Park - Land,0.72333766,PUBLIC,Unknown
National Park - Land,28.55823012,PUBLIC,Native woody cover
National Park - Land,2.84940712,PUBLIC,Unknown
Unclassified Private Land,0.35459794,PRIVATE,Unknown
National Park - Land,0.16907925,PUBLIC,Unknown
National Park - Land,37.09405502,PUBLIC,Native woody cover
National Park - Land,0.69820083,PUBLIC,Unknown
National Park - Land,0.56484845,PUBLIC,Unknown
National Park - Land,31.96546843,PUBLIC,Native woody cover
National Park - Land,33.10597340,PUBLIC,Native woody cover
National Park - Land,83.34193898,PUBLIC,Native woody cover
National Park - Land,44.98252118,PUBLIC,Native woody cover
National Park - Land,0.03636277,PUBLIC,Unknown
Nature Reserve,16.98478975,PUBLIC,Pasture and grassland
National Park - Land,11.27023324,PUBLIC,Unknown
Nature Reserve,9.36219521,PUBLIC,Unknown
National Park - Land,72.39989363,PUBLIC,Native woody cover
Reserved Roads / Unused Roads,1.71809168,PRIVATE,Unknown
National Park - Land,0.19155106,PUBLIC,Unknown
Reserved Roads / Unused Roads,0.29852135,PRIVATE,Unknown
National Park - Land,0.18925089,PUBLIC,Unknown
Separate House and Curtilage,4.78836059,PRIVATE,Unknown
Mixed farming and grazing  (generally more than 20ha),19.88507271,PRIVATE,Pasture and grassland
Separate House and Curtilage,4.67733944,PRIVATE,Unknown
"Unspecified - Transport, Storage, Utilities and Communication",1.41589310,PUBLIC,Unknown
"Unspecified - Transport, Storage, Utilities and Communication",0.05511814,PUBLIC,Unknown
Reserved Land,15.18297875,PUBLIC,Pasture and grassland
Short Term Holiday Accommodation,9.45432677,PRIVATE,Unknown
Forest Reserves - Public,0.09130272,PUBLIC,Unknown
Separate House and Curtilage,1.64534097,PRIVATE,Unknown
Mixed farming and grazing  (generally more than 20ha),16.01022788,PRIVATE,Pasture and grassland
Livestock Production (Beef Cattle),3.17683134,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),0.52315700,PRIVATE,Unknown
National Park - Land,1.08127117,PUBLIC,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),13.40808616,PRIVATE,Pasture and grassland
Livestock Production (Beef Cattle),22.15027113,PRIVATE,Pasture and grassland
Mixed farming and grazing  (generally more than 20ha),12.58621144,PRIVATE,Pasture and grassland
National Park - Land,0.05105919,PUBLIC,Unknown
National Park - Land,0.01826103,PUBLIC,Unknown
Separate House and Curtilage,0.51580001,PRIVATE,Unknown
National Park - Land,0.60744005,PUBLIC,Unknown
Separate House and Curtilage,12.11219785,PRIVATE,Unknown
Mixed farming and grazing  (generally more than 20ha),17.34538127,PRIVATE,Pasture and grassland
National Park - Land,1.49733509,PUBLIC,Unknown
Livestock Production (Dairy Cattle),20.23781616,PRIVATE,Pasture and grassland
National Park - Land,0.03434479,PUBLIC,Unknown
Separate House and Curtilage,13.46969120,PRIVATE,Pasture and grassland
National Park - Land,0.10922484,PUBLIC,Unknown
National Park - Land,24.27244944,PUBLIC,Native woody cover
Forest Reserves - Public,1524.01765907,PUBLIC,Native woody cover
Forest Reserves - Public,409.32059871,PUBLIC,Native woody cover
National Park - Land,651.11795429,PUBLIC,Native woody cover
Livestock Production (Beef Cattle),20.70108499,PRIVATE,Pasture and grassland
National Park - Land,5.23264128,PUBLIC,Unknown
